method,path,subsystem,actor,handler,purpose,source
GET,/api/v1/personalization/recommendations/me,Personalization,Học sinh/Giảng viên/Admin theo endpoint,get_my_recommendation_feed,get my recommendation feed,backend/app/personalization/api/recommendations.py:41
POST,/api/v1/personalization/recommendations/me/feedback,Personalization,Học sinh/Giảng viên/Admin theo endpoint,submit_my_recommendation_feedback,submit my recommendation feedback,backend/app/personalization/api/recommendations.py:55
GET,/api/v1/personalization/recommendations/me/history,Personalization,Học sinh/Giảng viên/Admin theo endpoint,get_my_recommendation_history,get my recommendation history,backend/app/personalization/api/recommendations.py:64
GET,/,Platform,Khách/Hệ thống,read_root,read root,backend/app/main.py:272
GET,/api/v1/runtime-config,Platform,Khách/Hệ thống,get_public_runtime_config,get public runtime config,backend/app/routers/system_settings.py:62
GET,/api/v1/taxonomy,Platform,Theo dependency của endpoint,list_taxonomy_nodes,list taxonomy nodes,backend/app/exam_bank/api/taxonomy.py:24
POST,/api/v1/taxonomy,Platform,Theo dependency của endpoint,create_taxonomy_node,create taxonomy node,backend/app/exam_bank/api/taxonomy.py:15
GET,/api/v1/admin/reports/export,Reports,Admin/Analyst,export_report,export report,backend/app/routers/admin_reports.py:306
GET,/api/v1/admin/reports/types,Reports,Admin/Analyst,report_types,report types,backend/app/routers/admin_reports.py:292
GET,/api/v1/admin/feature-flags,Runtime Settings,Admin theo permission,list_feature_flags,list feature flags,backend/app/routers/system_settings.py:103
PATCH,/api/v1/admin/feature-flags/{key},Runtime Settings,Admin theo permission,patch_feature_flag,patch feature flag,backend/app/routers/system_settings.py:114
GET,/api/v1/admin/settings,Runtime Settings,Admin theo permission,list_system_settings,list system settings,backend/app/routers/system_settings.py:67
PATCH,/api/v1/admin/settings/{key},Runtime Settings,Admin theo permission,patch_system_setting,patch system setting,backend/app/routers/system_settings.py:78
GET,/health,System Health,Khách/Hệ thống,health_check,health check,backend/app/main.py:281
GET,/health/ready,System Health,Khách/Hệ thống,readiness_check,readiness check,backend/app/main.py:285
GET,/api/v1/exam-attempts/{attempt_id},Timed Exam,Học sinh hoặc Giảng viên chấm,get_attempt,get attempt,backend/app/exam_bank/api/attempts.py:33
PATCH,/api/v1/exam-attempts/{attempt_id}/autosave,Timed Exam,Học sinh hoặc Giảng viên chấm,autosave_attempt,autosave attempt,backend/app/exam_bank/api/attempts.py:39
POST,/api/v1/exam-attempts/{attempt_id}/override,Timed Exam,Học sinh hoặc Giảng viên chấm,override_score,override score,backend/app/exam_bank/api/attempts.py:68
POST,/api/v1/exam-attempts/{attempt_id}/submit,Timed Exam,Học sinh hoặc Giảng viên chấm,submit_attempt,submit attempt,backend/app/exam_bank/api/attempts.py:49
POST,/api/v1/web-knowledge/explore,Web Knowledge,Người dùng đã đăng nhập,explore,explore,backend/app/web_knowledge/api/explore.py:13
GET,/api/v1/web-knowledge/sources,Web Knowledge,Người dùng đã đăng nhập,list_sources,list sources,backend/app/web_knowledge/api/sources.py:27
POST,/api/v1/web-knowledge/sources,Web Knowledge,Người dùng đã đăng nhập,save_source,save source,backend/app/web_knowledge/api/sources.py:21
POST,/api/v1/web-knowledge/sources/{source_id}/review,Web Knowledge,Người dùng đã đăng nhập,review_source,review source,backend/app/web_knowledge/api/sources.py:42
